subj,side,cond,bout,MDF,MNF,peakF,totpow,p_20_60,p_60_150,p_150_250,p_250_450,n_cycles,chew_rate,cv_ipi,med_dur,med_amp,med_area,duty,rms_amp
S3,L,ANE,1,87.0,109.86635495573624,35.0,1.3270313517351533e-09,4.288889254145831e-10,5.505813239575089e-10,2.4212208092967336e-10,8.791374906630178e-11,93,1.5272184936614466,0.27998377718552864,0.4482421875,4.4426686250027234e-05,1.2596218396253782e-05,0.73232421875,3.618947598092014e-05
S3,L,ANE,2,101.0,117.47057314693492,39.0,2.2518791641631126e-09,6.1898660818881e-10,9.396600129228794e-10,5.241743901935624e-10,1.4107087229641422e-10,85,1.4291695743196091,0.20771374797560146,0.44921875,4.631019514494031e-05,1.6913151279985337e-05,0.6724934895833333,4.744103154218915e-05
S3,L,ANE,3,107.0,121.20559731264976,35.0,2.2094702889869003e-09,5.771142130356126e-10,9.02615120793888e-10,5.602636541137677e-10,1.448186469661977e-10,92,1.5036710719530102,0.22490692880699886,0.443359375,4.607609183549861e-05,1.573751645368957e-05,0.7241536458333333,4.6880968546155535e-05
S3,L,ANE,4,108.0,120.78980957839828,37.0,2.2287254042148606e-09,5.635550824259261e-10,9.47225121209215e-10,5.482080007364487e-10,1.43159384297249e-10,91,1.4938001458789205,0.21761648213963114,0.486328125,5.00851868981093e-05,1.7218335813315767e-05,0.7466471354166667,4.727686348204906e-05
S3,L,PLA,1,115.0,125.89670572768152,34.0,1.820671358904529e-09,4.16930184444605e-10,7.615919217716393e-10,4.961618169172946e-10,1.2595586368272967e-10,88,1.517037037037037,0.2081846734368636,0.42578125,3.801850686803932e-05,1.3780398869699965e-05,0.691357421875,4.234093492812267e-05
S3,L,PLA,2,111.0,123.14734538166609,41.0,2.121757127984043e-09,5.400795145674746e-10,8.783756745101967e-10,5.331356531070687e-10,1.469266906405809e-10,94,1.5456603773584905,0.23693866231993926,0.4287109375,5.0799509788815944e-05,1.5096025988325955e-05,0.6957356770833333,4.578850600105173e-05
S3,L,PLA,3,106.0,120.94086034228026,31.0,1.420607625183236e-09,3.6044100417934634e-10,5.928396062781097e-10,3.587831662724343e-10,9.189908869874278e-11,92,1.5538694992412747,0.2674827214951232,0.44140625,4.133834339862503e-05,1.2367281362842776e-05,0.7259114583333334,3.721369950280237e-05
S3,L,PLA,4,107.0,121.31478796421626,40.0,1.7809762454328069e-09,4.5476146619820033e-10,7.545984434191156e-10,4.285735978903898e-10,1.2342821924867016e-10,95,1.615141955835962,0.2325082468258262,0.42724609375,3.631402504061816e-05,1.23960323562279e-05,0.7302083333333333,4.2109883704108363e-05
S9,R,ANE,1,99.0,115.26203223622458,68.0,9.474468864065102e-09,1.973456967515208e-09,5.09654796767677e-09,1.786033688623371e-09,5.008726997312751e-10,85,1.3671562082777036,0.2910724821576691,0.478515625,7.169657640117179e-05,3.321311684567995e-05,0.72900390625,9.697361694250147e-05
S9,R,ANE,2,110.0,123.06427472769131,47.0,9.409092614719766e-09,1.950991183303148e-09,4.472188194357794e-09,2.301294716642835e-09,5.673282947545894e-10,81,1.3394375408763899,0.20221963350050762,0.46044921875,0.0001317054551356091,3.16387567715958e-05,0.6773111979166667,9.769319279758194e-05
S9,R,ANE,3,109.0,123.00952725020976,65.0,9.179310252457371e-09,1.8039014955394761e-09,4.444617413138727e-09,2.2730795922801376e-09,5.568369440449681e-10,88,1.4566145092460883,0.20504758108621746,0.4384765625,0.0001336452265144531,3.065531938463527e-05,0.678466796875,9.617374986898338e-05
S9,R,ANE,4,113.0,125.18117406118628,69.0,1.0234965768610006e-08,1.9842264672269296e-09,4.890826111387694e-09,2.6078744986815814e-09,6.37962836664471e-10,88,1.4840579710144928,0.1564333330720087,0.451171875,0.0001393844551105929,3.0358291833209646e-05,0.7132161458333334,0.00010027336489838095
S9,R,PLA,1,110.0,121.9016640161142,41.0,8.638258559931842e-09,1.8198335056357806e-09,4.144312628602596e-09,2.0722740158776818e-09,5.072949015784708e-10,86,1.4586894586894588,0.28490307888887034,0.4677734375,8.572860814380455e-05,2.8337126457388604e-05,0.7490071614583333,9.271547522454488e-05
