subj,rama,side,cond,fs,dur_s,snr_db,MDF,MNF,peakF,totpow,p_20_60,p_60_150,p_150_250,p_250_450,n_cycles,chew_rate,cv_ipi,med_dur,med_amp,med_area,duty,rms_amp,mdf_slope,mnf_slope
M1,R2,L,ANE,1024.0,240.0,27.31,98.0,106.23187975995904,66.0,3.1111483969177987e-09,6.461368020509055e-10,1.82800140607707e-09,5.447685013453762e-10,5.4205212064135146e-11,359,1.5036710719530102,0.11339605324749175,0.5361328125,6.693922706929685e-05,1.9099184192900456e-05,0.81087646484375,5.602238799439477e-05,0.6224464681269999,0.6475702068512729
M1,R2,L,PLA,1024.0,240.0,26.26,102.0,110.57682805382943,64.0,2.477235580619642e-09,5.005041751213437e-10,1.3911256952790828e-09,4.989350195249467e-10,5.728673592024907e-11,342,1.440225035161744,0.1723709332656924,0.5224609375,5.3716605441857224e-05,1.7388851781110722e-05,0.76182861328125,4.9599859545069226e-05,1.296262438029605,1.5367755397202651
M1,R2,R,ANE,1024.0,240.0,29.89,84.0,96.81838681394112,62.0,4.368068689558551e-09,1.2261825417251215e-09,2.423656608167618e-09,5.890393729209434e-10,6.730596958462576e-11,359,1.5103244837758112,0.09526444602587329,0.4765625,8.616308762727841e-05,2.3177006421834546e-05,0.7206705729166667,6.642364342154757e-05,-0.5589465911887762,-1.4267452953487776
M1,R2,R,PLA,1024.0,240.0,29.23,84.0,96.6591168645875,57.0,3.802795066904338e-09,1.0855786050604166e-09,2.0940293479552094e-09,5.111604974546594e-10,6.08779251677723e-11,343,1.4291695743196091,0.15948009262875995,0.4814453125,8.70658809522329e-05,2.2099901265468936e-05,0.7032023111979167,6.153863748141781e-05,-5.5704792377201935,-4.051584840995162
M2,R2,L,ANE,1024.0,240.0,22.02,87.0,100.76512421571465,32.0,1.5669825835669474e-09,4.727251609076276e-10,7.678089840249564e-10,2.705583588653344e-10,3.655025495819605e-11,388,1.695364238410596,0.23291784478530528,0.4951171875,3.0258492094081528e-05,1.2787514067523224e-05,0.8276692708333333,3.9601940096173585e-05,-2.463204528673394,-1.9462750938661426
M2,R2,L,PLA,1024.0,240.0,19.85,88.0,101.72159841741964,33.0,9.557912058965986e-10,2.9040517274629544e-10,4.6508086428712085e-10,1.6473129690144415e-10,2.5223607260871594e-11,358,1.5562310030395137,0.2516276259765439,0.482421875,2.6627443350547004e-05,1.0510348797235414e-05,0.77335205078125,3.0849010344257815e-05,1.9987693822298787,1.7800367980893461
M2,R2,R,ANE,1024.0,240.0,18.86,49.0,65.17535574262666,26.0,1.8803299688238707e-09,1.1473409353663877e-09,5.882615450137994e-10,1.054882058368479e-10,2.0168472552350322e-11,383,1.7181208053691275,0.29936498568821873,0.515625,3.5091252994668916e-05,1.4205359655580268e-05,0.84149169921875,4.387311750748822e-05,-14.040118139305934,-15.0445040597358
M2,R2,R,PLA,1024.0,240.0,15.64,73.0,89.45420299193817,32.0,9.264062011189197e-10,3.44207032499508e-10,4.415385022421476e-10,1.0824432945011765e-10,2.120449066955757e-11,354,1.5515151515151515,0.2369915838404133,0.48828125,3.498802153819626e-05,1.052561512672018e-05,0.7731201171875,3.02912452560458e-05,-1.7404451320277055,-2.654845712490186
M3,R1,L,ANE,1024.0,240.0,-2.19,105.0,116.76252885815265,35.0,3.643535053667228e-09,8.699680210517688e-10,1.7339259520575632e-09,8.211272097687284e-10,1.790706794500454e-10,363,1.5215453194650816,0.21919073648149337,0.42138671875,7.438374734825698e-05,1.809905498320482e-05,0.6683308919270833,6.045989761887068e-05,3.0847016630920145,3.3200468046749245
M3,R1,L,PLA,1024.0,240.0,7.67,31.0,46.68673380000025,22.0,3.101909507838336e-08,2.5180593198423998e-08,4.425547185696741e-09,1.0489364249228693e-09,2.1873630440453756e-10,375,1.615141955835962,0.27700692703299556,0.4599609375,0.00021368176651417978,5.2203497547980194e-05,0.7778076171875,0.00018826655308423385,-6.28828100277768,-5.766525928401895
