subj,sel_side,cond,bout,amp_L,amp_R,mamp_L,mamp_R,asym
S3,L,ANE,1,32.86852780237611,38.21462928328855,44.42668625002723,46.78221869678459,-0.07520911704118048
S3,L,ANE,2,39.70082358207389,35.97278195096678,46.31019514494031,59.371744552705174,0.04926475492804847
S3,L,ANE,3,38.68800449860453,35.26261166544502,46.07609183549861,44.44995841286168,0.04632000395454021
S3,L,ANE,4,39.44863166120487,33.271751706938645,50.0851868981093,50.29806511896987,0.08494014563971669
S3,L,PLA,1,34.682000192932655,33.99998422119579,38.018506868039324,40.92769253000022,0.009930056295760737
S3,L,PLA,2,36.91574723118016,34.8796691312648,50.799509788815946,55.94473086064355,0.028359444141066035
S3,L,PLA,3,31.2389238594375,37.11114604769507,41.33834339862503,39.37564108153834,-0.08591391634618799
S3,L,PLA,4,35.08949824816021,36.67023271690917,36.314025040618155,47.570826693243625,-0.022028154892587217
S9,R,ANE,1,35.17205025900648,59.610950722772735,37.03773784263878,71.69657640117178,-0.2578405432474548
S9,R,ANE,2,33.4987796568249,59.39612799794959,56.017234037305606,131.7054551356091,-0.27878114091427675
S9,R,ANE,3,32.15284076627977,60.28420689431153,45.66938926451458,133.6452265144531,-0.30432999365496505
S9,R,ANE,4,34.59893829323512,61.657031465045385,43.37177259884511,139.38445511059288,-0.2811056107975296
S9,R,PLA,1,30.559796695838063,53.313774523648405,37.3959095426711,85.72860814380455,-0.271289006739272
S9,R,PLA,2,33.52933237624116,57.489778910187724,45.28351392835558,115.48184227167374,-0.26324632481353233
S9,R,PLA,3,34.6458573146092,62.66405777478238,53.44764739339678,114.50541516630831,-0.2879274988004521
S9,R,PLA,4,32.75890199972309,62.84212092832255,36.9979026800729,145.9753340319517,-0.31467465522038773
PS8,R,ANE,1,68.02589909119466,82.0417982341694,85.25570141620253,93.06375555083605,-0.09339717602640739
PS8,R,ANE,2,75.4247254277583,74.92779915140758,102.81978674483844,146.22408944912237,0.0033050743759814143
PS8,R,ANE,3,84.86342604882707,80.00166511714211,108.17351643725948,109.65916231452533,0.029489329107218982
PS8,R,ANE,4,64.53913343728748,68.88525634575468,89.13840622741544,97.99925263476231,-0.03257367648849128
PS8,R,PLA,1,78.65400087662806,82.15132547479334,95.48724239222507,112.09158485398537,-0.021748810673859514
PS8,R,PLA,2,72.39317567639071,72.92271894922335,98.00520542780644,93.3256998506679,-0.0036440836303346606
PS8,R,PLA,3,76.66233243885493,81.32245828394397,80.04345991461759,81.52273001920732,-0.029497306821551564
PS8,R,PLA,4,67.66523192678628,80.72092801715338,78.95810013287797,125.5362313559084,-0.08798459435367466
M2,L,ANE,1,28.553361494925266,35.592584868913185,22.5637030754806,38.80973936556465,-0.10973761824419966
M2,L,ANE,2,29.623229506567473,39.23306877307469,28.097856952106493,33.765403746341335,-0.13956369288803747
M2,L,ANE,3,31.383140229511856,33.53095472858494,35.22265643825018,33.73300839518889,-0.03308702833274502
M2,L,ANE,4,33.0368543644417,33.6316744812229,33.85523814329216,38.79005887148549,-0.008922052534835136
M2,L,PLA,1,18.36111375991377,18.273529971777982,25.866598933441747,25.601392838716055,0.0023907367238846415
M2,L,PLA,2,21.2641621872795,21.853279974590873,25.805542852875444,39.98641110296996,-0.013663096829809826
M2,L,PLA,3,26.935259073027517,22.817981562216165,22.07721260495807,32.88487344349148,0.08275395649092081
M2,L,PLA,4,28.53530304357565,23.48326240972664,31.49275659363368,42.87977828839419,0.09711995303646336
S14,R,ANE,1,28.249484224378676,32.07795779372461,47.41194064356251,41.72605636322489,-0.06346155980220419
S14,R,ANE,2,25.362704349108405,29.393523076226654,38.975564561643175,43.73483656014433,-0.0736138867969776
S14,R,ANE,3,24.660565057992834,27.90432899587385,30.506767088137973,44.87786075083426,-0.06170970181271284
S14,R,ANE,4,23.936290551926987,30.114835781771415,29.67650079622964,43.44056249853679,-0.1143092780657241
S14,R,PLA,1,27.20136732423814,29.473923329111326,48.87262832531539,34.38877469183157,-0.04009782708964083
S14,R,PLA,2,27.10102123568654,27.451101665273267,51.75203830376341,38.418024953084554,-0.0064173566668027805
S14,R,PLA,3,28.551474497106376,28.42157031918307,57.93690048018488,43.06008780238782,0.0022800989194483785
S14,R,PLA,4,29.500804216261,24.427961786219466,34.38463147754687,26.536760102604077,0.09406561295706473
S6,R,ANE,1,40.132289785700365,48.635937083949095,62.86482784235197,72.31621722913474,-0.09579607026211873
S6,R,ANE,2,35.69732755763034,48.50823722279031,54.45218346096122,58.59292528851369,-0.15213851600623182
S6,R,ANE,3,44.44607796929362,56.02493047252742,64.78061852025644,71.74017461776931,-0.11524570801873224
S6,R,ANE,4,33.100069967731564,44.32676146678866,34.318517467874265,48.432772357672796,-0.14499742907019708
S6,R,PLA,1,40.00225280368353,47.168202145737126,66.45514636190103,63.05787950215443,-0.08220617118737589
S6,R,PLA,2,39.76124669179091,47.78327085977931,50.799888327292905,64.61761975199448,-0.09163365556572678
S6,R,PLA,3,36.642532233807465,47.5606014886122,58.38644295718053,69.99464676231584,-0.129663455172543
S6,R,PLA,4,35.66247244945265,48.93596107768361,45.103190367652395,60.889940579189336,-0.1568999338973945
PS7,R,ANE,1,38.43212350836206,57.68465203249915,46.462465324601446,67.56404851317004,-0.20030352054363545
PS7,R,ANE,2,40.29493049079991,59.031271680348176,50.90630944905475,69.33641945970894,-0.18863442656615073
PS7,R,ANE,3,41.37039202547292,62.79786961897533,41.134828952629874,72.71123036512674,-0.20570063525336946
PS7,R,ANE,4,46.55970511139908,68.01798656423536,58.64858690741384,97.78409895345845,-0.18728149554263804
PS7,R,PLA,1,41.92015763561728,63.818855846637554,56.179999948701294,64.25519337711455,-0.2071014045794471
PS7,R,PLA,2,45.678530160090176,70.82496943910553,48.42670241172128,90.13220181802706,-0.21584278039308563
