subj,file,rama,fs,bouts_ANE,bouts_PLA,dur_ANE_s,dur_PLA_s,dur_RS_s,SNR_ANE_L,SNR_ANE_R,SNR_PLA_L,SNR_PLA_R
M1,M1_R2_231023.bdf,R2,1024.0,4,4,240.0,240.0,360.0,27.31,29.89,26.26,29.23
M2,M2_R2_261023.set,R2,1024.0,4,4,240.0,240.0,360.0,22.02,18.86,19.85,15.64
M3,M3_R1_201123_.bdf,R1,1024.0,4,4,240.0,240.0,360.0,-2.19,-24.64,7.67,-3.97
M4,M4_R1_231123_.bdf,R1,1024.0,4,4,240.0,240.0,360.0,20.45,30.91,19.69,30.42
M5,M5_R2_271123_.bdf,R2,1024.0,4,4,240.0,240.0,360.0,22.2,23.21,22.62,21.82
M6,M6_R2_271123_.bdf,R2,1024.0,4,4,240.0,240.0,360.0,22.37,28.4,21.28,27.18
M7,M7_R1_301123_.bdf,R1,1024.0,4,4,240.0,240.0,360.0,20.71,-23.76,25.61,-24.21
PS1,PS1_R1_240523_merged.set,R1,1024.0,4,4,240.0,240.0,360.0,28.89,32.29,28.6,32.1
PS2,PS2_R2_240523.bdf,R2,1024.0,4,4,240.0,240.0,360.0,23.32,33.36,23.73,32.6
PS3,PS3_R1_290523.bdf,R1,1024.0,4,4,240.0,240.0,360.0,19.76,20.8,19.19,22.54
PS4,PS4_R1_290523.bdf,R1,1024.0,4,4,240.0,240.0,360.0,27.33,21.94,27.46,21.97
PS5,PS5_R2_310523.bdf,R2,1024.0,4,4,240.0,240.0,360.0,24.64,29.59,26.55,30.23
PS6,PS6_R2_050623.bdf,R2,1024.0,4,4,240.0,240.0,360.0,23.97,29.79,24.5,28.5
PS7,PS7_R1_120623.bdf,R1,1024.0,4,4,240.0,240.0,360.0,15.39,20.61,16.03,21.4
PS8,PS8_R2_120623.bdf,R2,1024.0,4,4,240.0,240.0,360.0,18.86,19.7,19.12,20.28
PS9,PS9_R1_140623.bdf,R1,1024.0,4,4,240.0,240.0,360.0,25.55,22.07,25.42,22.55
PS10,PS10_R1_260923.bdf,R1,1024.0,4,4,240.0,240.0,360.0,24.23,23.41,22.41,23.57
PS11,PS11_R2_190623.bdf,R2,1024.0,4,4,240.0,240.0,360.0,19.39,29.13,19.77,28.54
PS12,PS12_R2_190623.bdf,R2,1024.0,4,4,240.0,240.0,360.0,21.36,48.19,20.64,44.38
PS13,PS13_R1_280623.bdf,R1,1024.0,4,4,240.0,240.0,360.0,28.08,28.77,27.77,28.16
PS14,PS14_R2_100723.bdf,R2,1024.0,4,4,240.0,240.0,360.0,27.32,28.88,25.74,29.39
PS15,PS15_R1_201023.bdf,R1,1024.0,4,4,240.0,240.0,360.0,16.58,20.79,16.68,20.84
S1,S1_R1_220523.bdf,R1,1024.0,4,4,240.0,240.0,360.0,24.76,30.2,23.45,29.82
S2,S2_R1_260523.bdf,R1,1024.0,4,4,240.0,240.0,360.0,8.97,21.46,16.37,21.52
S3,S3_R1_270523.bdf,R1,1024.0,4,4,240.0,240.0,360.0,15.05,13.9,14.51,13.79
S4,S4_R2_310523.bdf,R2,1024.0,4,4,240.0,240.0,360.0,18.17,27.53,19.26,28.14
S5,S5_R2_050623.bdf,R2,1024.0,4,4,240.0,240.0,360.0,24.5,30.74,24.52,29.86
S6,S6_R2_070623.bdf,R2,1024.0,4,4,240.0,240.0,360.0,19.4,20.3,19.52,20.24
S7,S7_R1_030723.bdf,R1,1024.0,4,4,240.0,240.0,360.0,28.74,36.81,30.06,36.64
S8,S8_R1_030723.bdf,R1,1024.0,4,4,240.0,240.0,360.0,27.41,2.29,27.51,0.53
S9,S9_R1_100723.bdf,R1,1024.0,4,4,240.0,240.0,360.0,12.31,16.81,12.21,16.91
S10,S10_R2_190723.bdf,R2,1024.0,4,4,240.0,240.0,360.0,31.38,32.37,29.31,31.87
S11,S11_R2_121023.bdf,R2,1024.0,4,4,240.0,240.0,360.0,15.28,21.56,15.25,21.16
S12,S12_R2_191023.bdf,R2,1024.0,4,4,240.0,240.0,360.0,16.24,28.42,37.82,26.26
S13,S13_R1_241123_.bdf,R1,1024.0,4,4,240.0,240.0,360.0,21.35,22.27,22.39,22.8
S14,S14_R2_241123_.bdf,R2,1024.0,4,4,240.0,240.0,360.0,17.25,20.94,18.63,19.82
