subj,side,snr_min,burst_ratio,pct_active,env_peak_hz,env_peak_prom,kurtosis,sat_pct,burst_ratio_z,env_peak_prom_z,kurtosis_z
PS8,R,19.7,13.63333733597671,98.90706380208333,1.25,5.998365249458932,20.521606609970764,0.0004069010416666667,0.250954579310156,-1.3257795685654459,1.0854153635465889
M5,L,22.2,5.283407156094634,94.10400390625,1.5,6.584832324979711,29.04135047918232,0.0004069010416666667,-1.5986718463156417,-1.2569570407907567,2.491127860044921
S6,R,20.2,9.072812364314562,99.906005859375,1.75,8.259109975370247,8.730057572455982,0.0004069010416666667,-0.7592655447618013,-1.060478798607728,-0.8601276116369323
PS7,R,20.6,9.92458787098695,98.84480794270833,1.375,8.944285755563461,6.710895940606049,0.0004069010416666667,-0.5705853460173965,-0.9800727005825012,-1.1932785586505643
PS13,R,28.2,14.02727900243609,97.08251953125,1.5,9.03822730786584,10.74680346813784,0.0004069010416666667,0.3382181732254555,-0.9690485606735613,-0.5273752482628833
S12,R,26.3,14.912058131868065,99.89990234375,1.25,9.971147454495846,13.148057430498675,0.0004069010416666667,0.5342091364292556,-0.8595694008315595,-0.1311810957185839
S13,R,22.3,9.844078304873824,99.97355143229166,1.25,11.087787139029047,14.20423707120884,0.0004069010416666667,-0.5884193419659244,-0.7285305601006212,0.04308293642664499
M3,L,-2.2,0.8682795814427751,28.714192708333336,1.5,11.327959612141234,15.740881686511592,0.0004069010416666667,-2.576684411529755,-0.7003460679246514,0.29662113799324347
PS11,R,28.5,15.54875493978773,100.0,1.625,12.541441029454539,8.714074924093453,0.0004069010416666667,0.6752463925104119,-0.5579427480572001,-0.8627646637449817
PS4,L,27.3,11.940840554479085,97.56795247395833,1.25,13.425174173913987,19.031229336357963,0.0004069010416666667,-0.12395715107617299,-0.4542357346226174,0.8395110276679435
PS2,R,32.6,19.679824567823086,98.09611002604167,1.25,13.581680892955834,17.685035029402865,0.0004069010416666667,1.5903361460180565,-0.43586950663169705,0.6173961156410378
S14,R,19.8,3.7158012474368434,82.73640950520833,1.375,14.26769334311048,12.919501660417604,0.0004069010416666667,-1.945918500018983,-0.35536522450703417,-0.16889158409497845
PS3,R,20.8,15.542015929937708,99.9951171875,1.25,14.34298876614696,13.422588093435131,0.0004069010416666667,0.6737536074891451,-0.3465292274672456,-0.08588499415896488
PS1,R,32.1,28.053945980950292,99.671630859375,1.5,14.894521244008613,14.32106827142,0.0004069010416666667,3.445321268461041,-0.28180631144920565,0.06235946405926776
S3,L,14.5,8.287372551342767,99.72981770833333,1.375,15.07012647753767,6.334681081060134,0.0004069010416666667,-0.9332514587172799,-0.26119885270789034,-1.2553520126828155
M4,R,30.4,14.696865297577155,97.99235026041667,1.5,15.106173114274139,18.231606607485197,0.0004069010416666667,0.48654091114651415,-0.2569687419965997,0.7075775235959992
S5,R,29.9,9.576035907135802,97.04630533854167,1.375,16.135945371371985,17.83065402355481,0.0004069010416666667,-0.6477944853939317,-0.1361238851855204,0.6414224764036707
PS14,R,28.9,15.269826402050047,99.94099934895834,1.25,17.256099891934873,14.210500331611062,0.0004069010416666667,0.6134598166772632,-0.004672574751893747,0.04411634113356846
PS10,R,23.4,8.355049190232272,93.68448893229167,1.125,17.335734027398967,24.339777170811985,0.0004069010416666667,-0.9182601357971005,0.004672574751894164,1.715393230666819
M7,R,-24.2,6.130993796103599,97.16959635416667,1.25,18.28338257417071,6.218142123217614,0.0004069010416666667,-1.4109195401771846,0.11588012783222272,-1.2745803218764913
M2,L,19.8,10.516615621749418,100.0,1.625,18.945386603967222,16.489700682835732,0.0004069010416666667,-0.43944291141927544,0.19356699659151166,0.4201722959748971
PS6,R,28.5,27.864175508081225,100.0,1.625,19.410068235970506,17.08277546505931,0.0004069010416666667,3.403284452121208,0.24809787455518148,0.5180264856697879
PS12,L,20.6,7.864342350861686,98.96647135416666,1.5,20.4561699544433,20.517214378190257,0.0004069010416666667,-1.0269585701291546,0.3708590108232535,1.084690668626629
S7,R,36.6,32.13976172287871,99.17928059895833,1.5,20.891241913589806,12.788334670219209,0.0004069010416666667,4.350386652686255,0.42191516255310096,-0.1905334409489476
S8,L,27.4,8.080675266941908,92.74576822916667,1.25,21.046201959136074,21.405248666935357,0.0004069010416666667,-0.9790378007700608,0.44009988678353607,1.231211610590524
S9,R,16.8,7.793129225306271,98.80615234375,1.375,22.823382847210944,15.426566166002232,0.0004069010416666667,-1.0427332743531563,0.6486539320751138,0.24476074620140953
PS5,R,29.6,20.474843042597367,97.916259765625,1.0,23.320735773071515,10.64480831436145,0.0004069010416666667,1.7664438676545975,0.7070188207152254,-0.5442039070168005
PS9,L,25.4,8.105689217456815,97.6953125,1.5,23.577710233912498,18.459682983860517,0.0004069010416666667,-0.973496860560388,0.7371750438125059,0.7452089145566426
S11,R,21.2,9.95302917386928,88.27677408854167,1.625,25.533920205984792,11.612032423463104,0.0004069010416666667,-0.564285199278789,0.9667383402968274,-0.3846170652113688
M6,R,27.2,13.060021749603877,97.227783203125,1.5,25.715614098623757,12.14898675674074,0.0004069010416666667,0.12395715107617299,0.9880603095847581,-0.29602245157926255
PS15,R,20.8,15.732408522081291,99.98738606770833,1.625,26.30333313532787,4.714297228301843,0.0004069010416666667,0.7159282319573391,1.057029756320305,-1.5227067437537671
S2,R,21.5,14.141698329892186,95.560302734375,1.625,30.76936639724541,8.719136187740602,0.0004069010416666667,0.3635636560146439,1.5811234540578447,-0.8619295821197487
S4,R,27.5,14.735633835284844,95.72509765625,1.625,31.9290685573099,9.624308101286447,0.0004069010416666667,0.49512868497003426,1.7172157215573143,-0.7125810230687057
S10,R,31.9,13.807377104295922,99.58780924479167,1.625,36.160880399882934,13.682002852756796,0.0004069010416666667,0.2895068243778568,2.213823289533946,-0.04308293642664499
S1,R,29.8,10.87428147012262,97.200927734375,1.5,36.81650786639256,21.08983767252949,0.0004069010416666667,-0.36021491903571673,2.2907618618888215,1.179170471423001
M1,R,29.2,13.710227713544212,98.92740885416667,1.5,113.6444450123184,7.149914924315789,0.0004069010416666667,0.2679868743307599,11.306601043316526,-1.120842757636526
