feature,n,dz_b1,p_b1,dz_b2,p_b2,dz_b3,dz_b4,slope_mean,trend_p,inter_p,inter_p_gg,p_b1_fdr
rms_amp,34,0.487484263979371,0.0036093484377488494,0.2574284313978016,0.10122521140147,0.03378494234024452,0.023768953989957067,-2.324707759100936e-06,0.035818485310301185,0.12277537569661562,0.12997518861893922,0.013234277605079114
totpow,34,0.45585979194541704,0.0031918033491820097,0.26064196140902085,0.07518593384884298,0.03168389595678086,0.09513229009088736,-4.6033330980122375e-10,0.04082481295336038,0.26032116453020115,0.2632837002493494,0.013234277605079114
med_amp,34,0.69492352483368,0.00031494395807385445,0.24802829133424995,0.19647399161476642,-0.1195328336079521,-0.05846854137560217,-1.1109927568689915e-05,0.0002281336346641183,0.0004128913162051995,0.0010027491963095847,0.003464383538812399
med_area,34,0.3387324888707326,0.0342672256520018,-0.14455916707114913,0.6484179915860295,0.10204582268100398,0.016697794649374032,-4.3713591313883765e-07,0.3879865809576586,0.18883837371398202,0.20011571211803628,0.05384849745314568
p_20_60,34,0.4672543426900918,0.012474308256059885,0.2312790944124947,0.05043982632923871,0.15116451255243868,0.02654810778172119,-1.2589668329714492e-10,0.04082481295336038,0.44512501072905997,0.4277978151439624,0.027443478163331748
p_60_150,34,0.46322870667940713,0.006879202323034406,0.2806103663158248,0.09414004837162793,0.024599162952155106,0.10007925361504967,-2.577199642943454e-10,0.05939454503823072,0.23849093462381799,0.24413316662109036,0.018917806388344616
MDF,34,-0.14669857556791438,0.5081184772205519,-0.27532177506580363,0.15733970073351877,-0.13887991655413748,0.08498134752124678,0.7294117647058823,0.5495804298480003,0.5262112936983413,0.4851496221387829,0.6210336943806746
MNF,34,-0.1898443407230734,0.3879865809576586,-0.3402315515844718,0.07811522763222456,-0.16678250431465375,0.0600011035557678,0.6957169390850891,0.4567767282715067,0.45684486754805087,0.4313086600692193,0.5334815488167806
chew_rate,34,0.05372147276007948,0.9193615607218817,0.3310838019371243,0.10122521140147,-0.0686047961595948,0.11289687685872231,-0.00438779068458777,0.8001492922194302,0.22981521587223824,0.23670520897323682,0.9193615607218817
cv_ipi,34,-0.4337985509543738,0.022654493572190404,-0.05105503047081897,0.35160549916327,-0.07048855460324727,-0.025677624869810053,0.007691134005719778,0.07234449649695307,0.049919197995737095,0.05729799458008976,0.04153323821568241
duty,34,0.04478731985945767,0.8263502409681678,0.20324623536912725,0.28541032527573407,0.21318711317265207,0.18470324901704938,0.0017874923406862777,0.7741656047292054,0.847565499134061,0.8328711080587419,0.9089852650649846
